Format Version,1.23,Take Name,5-6-SID-roll2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.30.54.933 AM,Capture Start Frame,172841,Total Frames in Take,51877,Total Exported Frames,51877,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
71,0.592000,-0.310343,0.205846,0.017853,-0.033532,0.232992,0.723997
72,0.600000,-0.310460,0.204181,0.024598,-0.033533,0.232988,0.723997
73,0.608000,-0.311852,0.204437,0.022297,-0.033530,0.232987,0.723995
74,0.617000,-0.289243,0.208428,0.033513,-0.033535,0.232976,0.724012
75,0.625000,-0.296967,0.211303,0.021871,-0.033532,0.232979,0.724010
76,0.633000,-0.289112,0.206876,0.030311,-0.033535,0.232974,0.724011
77,0.642000,-0.305388,0.206406,0.021611,-0.033528,0.232984,0.723996
78,0.650000,-0.311598,0.206060,0.018764,-0.033529,0.232990,0.723995
79,0.658000,-0.312623,0.198197,0.015521,-0.033529,0.232992,0.724003
80,0.667000,-0.305110,0.204785,0.022250,-0.033528,0.232986,0.724002
81,0.675000,-0.307045,0.204451,0.021868,-0.033525,0.232990,0.724001
82,0.683000,-0.308603,0.202567,0.024953,-0.033526,0.232986,0.723999
83,0.692000,-0.304088,0.202472,0.021568,-0.033526,0.232987,0.724005
84,0.700000,-0.306049,0.205584,0.014578,-0.033529,0.232985,0.724000
85,0.708000,-0.308823,0.204675,0.020289,-0.033528,0.232991,0.723996
