Format Version,1.23,Take Name,5-6-SID-pitch1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.42.57.977 AM,Capture Start Frame,259605,Total Frames in Take,44511,Total Exported Frames,44511,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
69,0.575000,-0.240642,0.441136,-1.902573,-0.037785,0.235159,0.723920
70,0.583000,-0.243507,0.449502,-1.897084,-0.037784,0.235160,0.723917
71,0.592000,-0.245826,0.452336,-1.903725,-0.037779,0.235155,0.723925
72,0.600000,-0.231781,0.440066,-1.901096,-0.037780,0.235152,0.723925
73,0.608000,-0.237683,0.447147,-1.905550,-0.037780,0.235155,0.723927
74,0.617000,-0.244781,0.445444,-1.903706,-0.037781,0.235157,0.723918
75,0.625000,-0.246039,0.445838,-1.905360,-0.037779,0.235165,0.723916
76,0.633000,-0.240848,0.443368,-1.901140,-0.037774,0.235159,0.723924
77,0.642000,-0.239147,0.442182,-1.908574,-0.037772,0.235160,0.723924
78,0.650000,-0.238877,0.449056,-1.901640,-0.037777,0.235162,0.723922
79,0.658000,-0.240684,0.444475,-1.908706,-0.037776,0.235160,0.723921
80,0.667000,-0.235395,0.447165,-1.907771,-0.037776,0.235156,0.723920
81,0.675000,-0.238642,0.447813,-1.892832,-0.037785,0.235160,0.723918
82,0.683000,-0.244999,0.446892,-1.900213,-0.037779,0.235159,0.723916
83,0.692000,-0.232146,0.439491,-1.905377,-0.037778,0.235156,0.723922
84,0.700000,-0.236875,0.452850,-1.901376,-0.037780,0.235160,0.723917
85,0.708000,-0.241213,0.455133,-1.900697,-0.037783,0.235162,0.723908
86,0.717000,-0.241769,0.453718,-1.899615,-0.037780,0.235164,0.723913
87,0.725000,-0.234798,0.452872,-1.900195,-0.037777,0.235155,0.723917
88,0.733000,-0.229784,0.452479,-1.904767,-0.037779,0.235156,0.723921
89,0.742000,-0.235459,0.452865,-1.899070,-0.037775,0.235155,0.723926
90,0.750000,-0.241844,0.446816,-1.910630,-0.037783,0.235159,0.723920
91,0.758000,-0.236754,0.447569,-1.903705,-0.037781,0.235157,0.723921
92,0.767000,-0.242793,0.448094,-1.906860,-0.037780,0.235159,0.723916
93,0.775000,-0.238892,0.447414,-1.897922,-0.037779,0.235161,0.723921
94,0.783000,-0.236859,0.453558,-1.898171,-0.037780,0.235155,0.723918
95,0.792000,-0.216097,0.478329,-1.879827,-0.037769,0.235133,0.723928
96,0.800000,-0.243693,0.463236,-1.903601,-0.037770,0.235158,0.723916
97,0.808000,-0.235405,0.441077,-1.897300,-0.037781,0.235150,0.723920
98,0.817000,-0.215312,0.477128,-1.888213,-0.037766,0.235133,0.723927
99,0.825000,-0.247818,0.463350,-1.902985,-0.037765,0.235157,0.723909
